Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Gls/90,Ast,Ast/90,G+A,G+A/90,xG,xG/90,xAG,xAG/90,npxG,npxG/90,G-PK,G-PK/90,Tkl,Tkl/90,TklW,TklW/90,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks/90,Int,Int/90,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err,Err/90,DefAct,DefAct/90,PrgP,PrgP/90,PrgC,PrgC/90,KP,KP/90,Cmp%,Cmp%/90,SCA,SCA/90,Ast_stats_passing,Ast_stats_passing/90,xA,xA/90,PPA,PPA/90,GA,GA/90,Saves,Saves/90,Save%,Save%/90,CS,CS/90,CS%,CS%/90,PKA,PKA/90,PKsv,PKsv/90,Touches,Touches/90,Carries,Carries/90,PrgR,PrgR/90,Mis,Mis/90,Dis,Dis/90,CrdY,CrdY/90,CrdR,CrdR/90,PKwon,PKwon/90,PKcon,PKcon/90,Recov,Recov/90
1273,Paul Joly,FRA,DF,Auxerre,Ligue 1,24,26,10,1009,11.2,0,0,1,0.08919722498,1,0.08919722498,0.6,0.05351833499,1.3,0.1159563925,0.6,0.05351833499,0,0,49,4.370664024,32,2.854311199,30,17,2,19,1.694747275,25,2.229930624,74,6.600594648,32,2.854311199,5,0.4459861249,88,7.849355798,51,4.549058474,28,2.497522299,16,1.4271556,68.7,6.127849356,32,2.854311199,1,0.08919722498,1.5,0.1337958375,18,1.60555005,,0,,0,,0,,0,,0,,0,,0,800,71.35777998,394,35.14370664,61,5.441030723,24,2.140733399,12,1.0703667,3,0.2675916749,1,0.08919722498,0,0,1,0.08919722498,56,4.995044599
1274,Curtis Jones,ENG,"MF,DF",Liverpool,Premier League,23,33,19,1712,19,3,0.1577102804,3,0.1577102804,6,0.3154205607,4.3,0.2260514019,1.1,0.0578271028,4.3,0.2260514019,3,0.1577102804,39,2.050233645,22,1.156542056,6,23,10,22,1.156542056,7,0.3679906542,46,2.418224299,10,0.5257009346,3,0.1577102804,65,3.417056075,117,6.150700935,30,1.577102804,22,1.156542056,93.1,4.894275701,52,2.73364486,3,0.1577102804,1.6,0.08411214953,19,0.9988317757,,0,,0,,0,,0,,0,,0,,0,1288,67.71028037,789,41.47780374,79,4.153037383,26,1.36682243,36,1.892523364,3,0.1577102804,1,0.05257009346,1,0.05257009346,0,0,97,5.099299065
1275,Frenkie de Jong,NED,MF,Barcelona,La Liga,27,26,9,1143,12.7,2,0.157480315,2,0.157480315,4,0.3149606299,0.7,0.05511811024,2,0.157480315,0.7,0.05511811024,2,0.157480315,19,1.496062992,11,0.8661417323,5,8,6,9,0.7086614173,12,0.9448818898,31,2.440944882,7,0.5511811024,1,0.07874015748,39,3.070866142,120,9.448818898,36,2.834645669,21,1.653543307,94.4,7.433070866,43,3.385826772,2,0.157480315,2,0.157480315,12,0.9448818898,,0,,0,,0,,0,,0,,0,,0,1226,96.53543307,815,64.17322835,24,1.88976378,5,0.3937007874,7,0.5511811024,3,0.2362204724,0,0,0,0,1,0.07874015748,57,4.488188976
1276,Joan Jordán,ESP,MF,Alavés,La Liga,30,25,15,1414,15.7,5,0.3182461103,2,0.1272984441,7,0.4455445545,4.8,0.3055162659,2.3,0.1463932107,1.6,0.1018387553,2,0.1272984441,32,2.036775106,18,1.145685997,11,17,4,12,0.7637906648,9,0.5728429986,41,2.609618105,21,1.336633663,0,0,53,3.373408769,104,6.619519095,7,0.4455445545,31,1.973125884,74.9,4.767326733,55,3.500707214,2,0.1272984441,2.6,0.1654879774,15,0.954738331,,0,,0,,0,,0,,0,,0,,0,1038,66.0678925,481,30.61527581,35,2.227722772,16,1.018387553,7,0.4455445545,4,0.2545968883,0,0,0,0,0,0,61,3.882602546
1277,Jorginho,ITA,MF,Arsenal,Premier League,32,15,9,704,7.8,0,0,0,0,0,0,0.1,0.01278409091,0.4,0.05113636364,0.1,0.01278409091,0,0,12,1.534090909,4,0.5113636364,1,7,4,3,0.3835227273,7,0.8948863636,19,2.428977273,2,0.2556818182,2,0.2556818182,20,2.556818182,48,6.136363636,12,1.534090909,3,0.3835227273,86.7,11.08380682,12,1.534090909,0,0,0.6,0.07670454545,10,1.278409091,,0,,0,,0,,0,,0,,0,,0,522,66.73295455,302,38.60795455,6,0.7670454545,12,1.534090909,9,1.150568182,5,0.6392045455,0,0,0,0,0,0,55,7.03125
1278,Jesse Joronen,FIN,GK,Venezia,Serie A,31,8,7,703,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.5120910384,1,0.1280227596,-1,-0.1280227596,0,0,0,0,0,0,73.8,9.448079659,0,0,0,0,0,0,0,0,15,1.920341394,27,3.456614509,70,8.961593172,2,0.2560455192,28.6,3.661450925,3,0.3840682788,0,0,327,41.86344239,196,25.09246088,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1280227596,11,1.408250356
1279,Jota,POR,"FW,MF",Rennes,Ligue 1,25,9,3,334,3.7,1,0.2694610778,0,0,1,0.2694610778,1.3,0.3502994012,0.3,0.08083832335,1.3,0.3502994012,1,0.2694610778,5,1.347305389,2,0.5389221557,2,3,0,1,0.2694610778,3,0.8083832335,8,2.155688623,2,0.5389221557,0,0,9,2.425149701,16,4.311377246,13,3.502994012,5,1.347305389,72,19.4011976,7,1.886227545,0,0,0.4,0.1077844311,6,1.616766467,,0,,0,,0,,0,,0,,0,,0,172,46.34730539,114,30.71856287,35,9.431137725,7,1.886227545,2,0.5389221557,0,0,0,0,0,0,0,0,11,2.964071856
1280,Diogo Jota,POR,FW,Liverpool,Premier League,27,26,14,1196,13.3,6,0.4515050167,3,0.2257525084,9,0.6772575251,7.9,0.5944816054,1.8,0.135451505,7.9,0.5944816054,6,0.4515050167,14,1.053511706,8,0.602006689,2,8,4,9,0.6772575251,8,0.602006689,22,1.655518395,6,0.4515050167,0,0,31,2.33277592,34,2.558528428,37,2.784280936,11,0.8277591973,69.7,5.244983278,37,2.784280936,3,0.2257525084,1.1,0.08277591973,3,0.2257525084,,0,,0,,0,,0,,0,,0,,0,485,36.49665552,263,19.7909699,88,6.622073579,40,3.010033445,22,1.655518395,2,0.1505016722,0,0,1,0.07525083612,0,0,41,3.085284281
1281,Antoine Joujou,FRA,"MF,FW",Le Havre,Ligue 1,21,26,9,943,10.5,0,0,2,0.1908801697,2,0.1908801697,0.6,0.0572640509,3,0.2863202545,0.6,0.0572640509,0,0,16,1.527041357,11,1.049840933,10,4,2,15,1.431601273,9,0.8589607635,25,2.386002121,19,1.813361612,0,0,40,3.817603393,18,1.717921527,44,4.199363733,15,1.431601273,64.8,6.184517497,37,3.531283139,2,0.1908801697,2.9,0.276776246,15,1.431601273,,0,,0,,0,,0,,0,,0,,0,417,39.79851538,249,23.76458112,85,8.112407211,32,3.054082715,17,1.622481442,1,0.09544008484,0,0,0,0,0,0,59,5.630965005
1282,Luka Jović,SRB,"FW,MF",Milan,Serie A,26,15,6,557,6.2,2,0.3231597846,0,0,2,0.3231597846,2.4,0.3877917415,1.4,0.2262118492,2.4,0.3877917415,2,0.3231597846,0,0,0,0,0,0,0,2,0.3231597846,1,0.1615798923,1,0.1615798923,3,0.4847396768,0,0,3,0.4847396768,26,4.201077199,8,1.292639138,12,1.938958707,81.6,13.18491921,16,2.585278276,0,0,1,0.1615798923,8,1.292639138,,0,,0,,0,,0,,0,,0,,0,171,27.63016158,99,15.99640934,24,3.877917415,9,1.454219031,6,0.9694793537,1,0.1615798923,0,0,0,0,0,0,9,1.454219031
1283,Juanmi,ESP,"FW,MF",Getafe,La Liga,31,13,8,696,7.7,0,0,0,0,0,0,2.9,0.375,0.3,0.03879310345,2.9,0.375,0,0,14,1.810344828,11,1.422413793,4,7,3,6,0.775862069,2,0.2586206897,16,2.068965517,3,0.3879310345,0,0,22,2.844827586,8,1.034482759,6,0.775862069,4,0.5172413793,76.6,9.905172414,9,1.163793103,0,0,0.2,0.02586206897,4,0.5172413793,,0,,0,,0,,0,,0,,0,,0,220,28.44827586,125,16.1637931,28,3.620689655,27,3.49137931,8,1.034482759,2,0.2586206897,0,0,0,0,0,0,23,2.974137931
1284,Juanmi,ESP,"FW,MF",Betis,La Liga,31,11,2,244,2.7,0,0,0,0,0,0,0.7,0.2581967213,0.4,0.1475409836,0.7,0.2581967213,0,0,7,2.581967213,4,1.475409836,3,3,1,4,1.475409836,1,0.368852459,8,2.950819672,4,1.475409836,0,0,12,4.426229508,4,1.475409836,4,1.475409836,4,1.475409836,82.9,30.57786885,5,1.844262295,0,0,0.1,0.0368852459,1,0.368852459,,0,,0,,0,,0,,0,,0,,0,109,40.20491803,62,22.86885246,18,6.639344262,7,2.581967213,4,1.475409836,2,0.737704918,0,0,0,0,0,0,14,5.163934426
1285,Juanpe,ESP,DF,Girona,La Liga,33,12,8,727,8.1,0,0,0,0,0,0,0.1,0.01237964237,0.2,0.02475928473,0.1,0.01237964237,0,0,8,0.9903713893,5,0.6189821183,5,3,0,15,1.856946355,8,0.9903713893,16,1.980742779,56,6.932599725,1,0.1237964237,30,3.71389271,26,3.218707015,2,0.2475928473,3,0.371389271,87.3,10.80742779,3,0.371389271,0,0,0.1,0.01237964237,1,0.1237964237,,0,,0,,0,,0,,0,,0,,0,676,83.68638239,377,46.67125172,0,0,3,0.371389271,1,0.1237964237,2,0.2475928473,0,0,0,0,0,0,22,2.72352132
1286,Jubal,BRA,DF,Auxerre,Ligue 1,30,30,30,2640,29.3,6,0.2045454545,0,0,6,0.2045454545,5.2,0.1772727273,0.9,0.03068181818,2,0.06818181818,3,0.1022727273,60,2.045454545,39,1.329545455,46,13,1,61,2.079545455,25,0.8522727273,85,2.897727273,201,6.852272727,1,0.03409090909,145,4.943181818,33,1.125,1,0.03409090909,6,0.2045454545,86.8,2.959090909,15,0.5113636364,0,0,0.8,0.02727272727,7,0.2386363636,,0,,0,,0,,0,,0,,0,,0,1458,49.70454545,698,23.79545455,3,0.1022727273,7,0.2386363636,2,0.06818181818,7,0.2386363636,0,0,1,0.03409090909,2,0.06818181818,90,3.068181818
1287,Anthony Jung,GER,DF,Werder Bremen,Bundesliga,32,28,20,1898,21.1,0,0,0,0,0,0,0,0,0.1,0.004741833509,0,0,0,0,34,1.612223393,22,1.043203372,22,11,1,23,1.090621707,25,1.185458377,59,2.79768177,77,3.651211802,1,0.04741833509,81,3.840885142,121,5.737618546,20,0.9483667018,2,0.09483667018,89.6,4.248682824,14,0.6638566913,0,0,0.5,0.02370916754,6,0.2845100105,,0,,0,,0,,0,,0,,0,,0,1695,80.37407798,1044,49.50474183,6,0.2845100105,13,0.6164383562,2,0.09483667018,1,0.04741833509,0,0,0,0,2,0.09483667018,81,3.840885142
