Rk,Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Gls,Gls/90,Ast,Ast/90,G+A,G+A/90,xG,xG/90,xAG,xAG/90,npxG,npxG/90,G-PK,G-PK/90,Tkl,Tkl/90,TklW,TklW/90,Def 3rd,Mid 3rd,Att 3rd,Blocks,Blocks/90,Int,Int/90,Tkl+Int,Tkl+Int/90,Clr,Clr/90,Err,Err/90,DefAct,DefAct/90,PrgP,PrgP/90,PrgC,PrgC/90,KP,KP/90,Cmp%,Cmp%/90,SCA,SCA/90,Ast_stats_passing,Ast_stats_passing/90,xA,xA/90,PPA,PPA/90,GA,GA/90,Saves,Saves/90,Save%,Save%/90,CS,CS/90,CS%,CS%/90,PKA,PKA/90,PKsv,PKsv/90,Touches,Touches/90,Carries,Carries/90,PrgR,PrgR/90,Mis,Mis/90,Dis,Dis/90,CrdY,CrdY/90,CrdR,CrdR/90,PKwon,PKwon/90,PKcon,PKcon/90,Recov,Recov/90
1,Max Aarons,ENG,DF,Bournemouth,Premier League,24,3,1,86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.093023256,2,2.093023256,1,1,0,3,3.139534884,1,1.046511628,3,3.139534884,0,0,0,0,6,6.279069767,8,8.372093023,1,1.046511628,0,0,79.4,83.09302326,2,2.093023256,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,73,76.39534884,41,42.90697674,3,3.139534884,1,1.046511628,0,0,0,0,0,0,0,0,0,0,7,7.325581395
2,Max Aarons,ENG,"DF,MF",Valencia,La Liga,24,4,1,120,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,2,2,0,1,0.75,0,0,4,3,3,2.25,0,0,5,3.75,6,4.5,0,0,1,0.75,71.2,53.4,1,0.75,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,85,63.75,46,34.5,10,7.5,3,2.25,1,0.75,2,1.5,0,0,0,0,0,0,7,5.25
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21,1,1,65,0.7,0,0,0,0,0,0,0.1,0.1384615385,0,0,0.1,0.1384615385,0,0,3,4.153846154,2,2.769230769,2,1,0,1,1.384615385,1,1.384615385,4,5.538461538,0,0,0,0,5,6.923076923,2,2.769230769,3,4.153846154,0,0,58.6,81.13846154,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,36,49.84615385,13,18,3,4.153846154,0,0,2,2.769230769,1,1.384615385,0,0,0,0,0,0,2,2.769230769
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,20,6,0,88,1,0,0,0,0,0,0,0.1,0.1022727273,0,0,0.1,0.1022727273,0,0,4,4.090909091,2,2.045454545,4,0,0,2,2.045454545,1,1.022727273,5,5.113636364,3,3.068181818,0,0,7,7.159090909,4,4.090909091,3,3.068181818,0,0,78.3,80.07954545,1,1.022727273,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,65,66.47727273,29,29.65909091,1,1.022727273,1,1.022727273,3,3.068181818,1,1.022727273,0,0,0,0,0,0,7,7.159090909
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,1,30,1,0,0,0,0,0,0,1,30,0,0,0,0,1,30,0,0,1,30,0,0,100,3000,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,4,120,1,30,0,0,1,30,0,0,0,0,0,0,0,0,0,0,0,0
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36,16,11,1033,11.5,0,0,0,0,0,0,0.2,0.0174249758,0.1,0.008712487899,0.2,0.0174249758,0,0,17,1.481122943,11,0.9583736689,15,2,0,26,2.265246854,14,1.219748306,31,2.700871249,57,4.966118103,1,0.08712487899,56,4.878993224,22,1.916747338,4,0.348499516,2,0.174249758,86.7,7.553727009,6,0.522749274,0,0,0.3,0.0261374637,0,0,,0,,0,,0,,0,,0,,0,,0,641,55.84704743,322,28.05421104,3,0.261374637,8,0.6969990319,3,0.261374637,2,0.174249758,0,0,0,0,0,0,42,3.659244918
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24,32,32,2842,31.6,6,0.1900070373,1,0.03166783955,7,0.2216748768,6.4,0.2026741731,3.2,0.1013370866,3.2,0.1013370866,3,0.09500351865,48,1.520056298,32,1.013370866,13,20,15,24,0.7600281492,26,0.8233638283,74,2.343420127,28,0.8866995074,2,0.0633356791,96,3.040112597,207,6.555242787,107,3.388458832,39,1.235045742,82.1,2.599929627,94,2.976776918,1,0.03166783955,3.7,0.1171710063,38,1.203377903,,0,,0,,0,,0,,0,,0,,0,1993,63.11400422,1183,37.46305419,111,3.51513019,55,1.741731175,51,1.615059817,4,0.1266713582,0,0,0,0,0,0,193,6.111893033
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25,12,10,855,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2.210526316,14,1.473684211,12,6,3,11,1.157894737,15,1.578947368,36,3.789473684,56,5.894736842,1,0.1052631579,46,4.842105263,52,5.473684211,6,0.6315789474,0,0,90.4,9.515789474,8,0.8421052632,0,0,0.2,0.02105263158,1,0.1052631579,,0,,0,,0,,0,,0,,0,,0,635,66.84210526,342,36,5,0.5263157895,4,0.4210526316,3,0.3157894737,2,0.2105263158,0,0,0,0,0,0,50,5.263157895
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30,25,17,1393,15.5,5,0.3230437904,2,0.1292175162,7,0.4522613065,4.3,0.2778176597,1.9,0.1227566403,4.3,0.2778176597,5,0.3230437904,43,2.778176597,25,1.615218952,18,14,11,20,1.292175162,20,1.292175162,63,4.070351759,37,2.390524049,0,0,83,5.36252692,42,2.713567839,35,2.261306533,20,1.292175162,74,4.781048098,45,2.907394113,2,0.1292175162,1.7,0.1098348887,21,1.35678392,,0,,0,,0,,0,,0,,0,,0,886,57.24335966,391,25.26202441,101,6.525484566,32,2.067480258,14,0.9045226131,2,0.1292175162,0,0,0,0,0,0,72,4.651830581
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25,4,2,205,2.3,0,0,1,0.4390243902,1,0.4390243902,0,0,0.2,0.08780487805,0,0,0,0,3,1.317073171,2,0.8780487805,2,0,1,2,0.8780487805,2,0.8780487805,5,2.195121951,0,0,0,0,7,3.073170732,9,3.951219512,6,2.634146341,2,0.8780487805,86.8,38.10731707,6,2.634146341,1,0.4390243902,0.2,0.08780487805,4,1.756097561,,0,,0,,0,,0,,0,,0,,0,157,68.92682927,90,39.51219512,26,11.41463415,5,2.195121951,1,0.4390243902,0,0,0,0,0,0,1,0.4390243902,3,1.317073171
11,Abel,ESP,DF,Osasuna,La Liga,23,35,20,2074,23,2,0.08678881389,0,0,2,0.08678881389,0.5,0.02169720347,1,0.04339440694,0.5,0.02169720347,2,0.08678881389,61,2.647058824,37,1.605593057,28,25,8,29,1.258437801,18,0.781099325,79,3.428158149,64,2.777242044,2,0.08678881389,106,4.599807136,77,3.341369335,50,2.169720347,16,0.6943105111,72.5,3.146094503,39,1.692381871,0,0,1.5,0.06509161041,18,0.781099325,,0,,0,,0,,0,,0,,0,,0,1322,57.36740598,605,26.2536162,92,3.992285439,27,1.171648987,18,0.781099325,3,0.1301832208,0,0,0,0,1,0.04339440694,106,4.599807136
12,Nabil Aberdin,FRA,MF,Getafe,La Liga,21,7,4,263,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.053231939,4,1.368821293,3,3,0,3,1.02661597,0,0,6,2.053231939,5,1.711026616,0,0,9,3.079847909,6,2.053231939,2,0.6844106464,1,0.3422053232,59,20.19011407,3,1.02661597,0,0,0.1,0.03422053232,2,0.6844106464,,0,,0,,0,,0,,0,,0,,0,87,29.77186312,34,11.63498099,2,0.6844106464,1,0.3422053232,1,0.3422053232,1,0.3422053232,0,0,0,0,0,0,8,2.737642586
13,Oliver Abildgaard,DEN,MF,Como,Serie A,28,1,0,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.85714286,0,0,0,0,0,0,0,0,1,12.85714286,0,0,0,0,0,0,100,1285.714286,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,2,25.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Matthis Abline,FRA,FW,Nantes,Ligue 1,21,34,33,2768,30.8,9,0.2926300578,2,0.06502890173,11,0.3576589595,8.5,0.2763728324,3.8,0.1235549133,7.7,0.2503612717,8,0.2601156069,11,0.3576589595,5,0.1625722543,2,4,5,15,0.487716763,4,0.1300578035,15,0.487716763,36,1.170520231,1,0.03251445087,29,0.9429190751,48,1.560693642,75,2.438583815,27,0.8778901734,65.2,2.119942197,61,1.983381503,2,0.06502890173,3.4,0.1105491329,15,0.487716763,,0,,0,,0,,0,,0,,0,,0,878,28.54768786,587,19.08598266,169,5.494942197,92,2.99132948,65,2.113439306,3,0.0975433526,0,0,0,0,0,0,83,2.698699422
15,Abner,BRA,DF,Lyon,Ligue 1,24,19,12,1090,12.1,1,0.08256880734,1,0.08256880734,2,0.1651376147,0.6,0.0495412844,1.1,0.09082568807,0.6,0.0495412844,1,0.08256880734,29,2.394495413,20,1.651376147,12,10,7,15,1.23853211,5,0.4128440367,34,2.80733945,41,3.385321101,0,0,49,4.04587156,66,5.449541284,31,2.559633028,11,0.9082568807,84.1,6.944036697,25,2.064220183,1,0.08256880734,2.3,0.1899082569,11,0.9082568807,,0,,0,,0,,0,,0,,0,,0,791,65.31192661,426,35.17431193,55,4.541284404,14,1.155963303,8,0.6605504587,1,0.08256880734,0,0,0,0,0,0,45,3.71559633
16,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24,26,22,1901,21.1,7,0.3314045239,2,0.09468700684,9,0.4260915308,10.2,0.4829037349,1.6,0.07574960547,8.6,0.4071541294,6,0.2840610205,22,1.041557075,13,0.6154655445,7,8,7,16,0.7574960547,6,0.2840610205,28,1.325618096,9,0.4260915308,0,0,44,2.08311415,22,1.041557075,34,1.609679116,12,0.568122041,63.3,2.996843766,34,1.609679116,2,0.09468700684,2,0.09468700684,10,0.4734350342,,0,,0,,0,,0,,0,,0,,0,613,29.0215676,375,17.75381378,164,7.764334561,64,3.029984219,26,1.230931089,4,0.1893740137,0,0,2,0.09468700684,0,0,61,2.887953709
17,Abdel Abqar,MAR,DF,Alavés,La Liga,25,29,29,2463,27.4,0,0,1,0.0365408039,1,0.0365408039,0.9,0.03288672351,0.3,0.01096224117,0.9,0.03288672351,0,0,36,1.31546894,23,0.8404384896,24,11,1,28,1.023142509,39,1.425091352,75,2.740560292,146,5.334957369,1,0.0365408039,102,3.727161998,79,2.886723508,16,0.5846528624,8,0.2923264312,76.6,2.799025579,25,0.9135200974,1,0.0365408039,0.4,0.01461632156,10,0.365408039,,0,,0,,0,,0,,0,,0,,0,1251,45.71254568,632,23.09378806,4,0.1461632156,18,0.6577344702,3,0.1096224117,13,0.4750304507,0,0,1,0.0365408039,2,0.0730816078,87,3.179049939
18,Tammy Abraham,ENG,FW,Roma,Serie A,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,0,0,0,0,33.3,2997,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,4,360,3,270,2,180,1,90,0,0,0,0,0,0,0,0,0,0,0,0
19,Tammy Abraham,ENG,FW,Milan,Serie A,26,28,12,1183,13.1,3,0.2282333052,4,0.3043110735,7,0.5325443787,7.1,0.5401521555,2.2,0.1673710904,5.4,0.4108199493,2,0.1521555368,17,1.293322063,11,0.8368554522,2,10,5,13,0.989010989,2,0.1521555368,19,1.445477599,16,1.217244294,0,0,32,2.434488588,26,1.978021978,8,0.6086221471,14,1.065088757,68.8,5.234150465,33,2.510566357,4,0.3043110735,1.3,0.0989010989,10,0.7607776839,,0,,0,,0,,0,,0,,0,,0,367,27.920541,158,12.0202874,69,5.249366019,22,1.673710904,13,0.989010989,1,0.07607776839,0,0,1,0.07607776839,0,0,12,0.9129332206
20,Federico Accornero,ITA,MF,Genoa,Serie A,20,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.7,1200.6,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,8,144,5,90,0,0,2,36,0,0,0,0,0,0,0,0,0,0,1,18
21,Francesco Acerbi,ITA,DF,Inter,Serie A,36,23,20,1710,19,0,0,1,0.05263157895,1,0.05263157895,0.4,0.02105263158,0.6,0.03157894737,0.4,0.02105263158,0,0,23,1.210526316,19,1,16,7,0,22,1.157894737,26,1.368421053,49,2.578947368,81,4.263157895,0,0,71,3.736842105,62,3.263157895,19,1,9,0.4736842105,92.5,4.868421053,20,1.052631579,1,0.05263157895,1.4,0.07368421053,8,0.4210526316,,0,,0,,0,,0,,0,,0,,0,1484,78.10526316,915,48.15789474,22,1.157894737,7,0.3684210526,2,0.1052631579,0,0,0,0,0,0,0,0,62,3.263157895
22,Joshua Acheampong,ENG,DF,Chelsea,Premier League,18,4,2,170,1.9,0,0,0,0,0,0,0.2,0.1058823529,0,0,0.2,0.1058823529,0,0,2,1.058823529,1,0.5294117647,2,0,0,1,0.5294117647,1,0.5294117647,3,1.588235294,2,1.058823529,0,0,4,2.117647059,8,4.235294118,0,0,0,0,83.9,44.41764706,2,1.058823529,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,137,72.52941176,106,56.11764706,0,0,2,1.058823529,0,0,1,0.5294117647,0,0,0,0,0,0,7,3.705882353
23,Akor Adams,NGA,FW,Sevilla,La Liga,24,4,1,134,1.5,0,0,0,0,0,0,0.4,0.2686567164,0,0,0.4,0.2686567164,0,0,0,0,0,0,0,0,0,1,0.671641791,0,0,0,0,1,0.671641791,0,0,1,0.671641791,5,3.358208955,0,0,0,0,74.1,49.76865672,0,0,0,0,0,0,1,0.671641791,,0,,0,,0,,0,,0,,0,,0,34,22.8358209,5,3.358208955,5,3.358208955,2,1.343283582,0,0,0,0,0,0,0,0,0,0,4,2.686567164
24,Akor Adams,NGA,FW,Montpellier,Ligue 1,24,15,13,1075,11.9,3,0.2511627907,1,0.08372093023,4,0.3348837209,4.3,0.36,1,0.08372093023,4.3,0.36,3,0.2511627907,4,0.3348837209,3,0.2511627907,1,2,1,2,0.1674418605,1,0.08372093023,5,0.4186046512,5,0.4186046512,1,0.08372093023,6,0.5023255814,6,0.5023255814,11,0.9209302326,12,1.004651163,62.6,5.240930233,25,2.093023256,1,0.08372093023,0.1,0.008372093023,0,0,,0,,0,,0,,0,,0,,0,,0,251,21.01395349,126,10.54883721,45,3.76744186,16,1.339534884,14,1.172093023,2,0.1674418605,0,0,2,0.1674418605,0,0,24,2.009302326
25,Che Adams,SCO,FW,Torino,Serie A,28,36,30,2652,29.5,9,0.3054298643,3,0.1018099548,12,0.407239819,9,0.3054298643,2,0.06787330317,8.2,0.278280543,9,0.3054298643,12,0.407239819,6,0.2036199095,2,4,6,13,0.4411764706,2,0.06787330317,14,0.4751131222,18,0.6108597285,0,0,27,0.9162895928,40,1.357466063,23,0.7805429864,26,0.8823529412,74.3,2.521493213,63,2.13800905,3,0.1018099548,2.9,0.09841628959,7,0.2375565611,,0,,0,,0,,0,,0,,0,,0,802,27.21719457,509,17.27375566,153,5.192307692,63,2.13800905,34,1.153846154,2,0.06787330317,0,0,0,0,0,0,50,1.696832579
26,Tyler Adams,USA,MF,Bournemouth,Premier League,25,28,21,1965,21.8,0,0,3,0.1374045802,3,0.1374045802,1.6,0.07328244275,1,0.04580152672,1.6,0.07328244275,0,0,83,3.801526718,50,2.290076336,26,49,8,33,1.511450382,32,1.465648855,115,5.267175573,42,1.923664122,0,0,148,6.778625954,76,3.480916031,14,0.641221374,18,0.8244274809,84.4,3.865648855,41,1.877862595,3,0.1374045802,0.8,0.03664122137,4,0.1832061069,,0,,0,,0,,0,,0,,0,,0,1337,61.23664122,663,30.36641221,10,0.4580152672,28,1.282442748,12,0.5496183206,7,0.320610687,0,0,0,0,1,0.04580152672,114,5.221374046
27,Junior Adamu,AUT,FW,Freiburg,Bundesliga,23,25,19,1545,17.2,2,0.1165048544,2,0.1165048544,4,0.2330097087,5.5,0.3203883495,2.4,0.1398058252,5.5,0.3203883495,2,0.1165048544,9,0.5242718447,3,0.1747572816,3,3,3,14,0.8155339806,12,0.6990291262,21,1.223300971,20,1.165048544,0,0,35,2.038834951,14,0.8155339806,8,0.4660194175,17,0.9902912621,63.5,3.699029126,29,1.689320388,2,0.1165048544,1.9,0.1106796117,8,0.4660194175,,0,,0,,0,,0,,0,,0,,0,534,31.10679612,275,16.01941748,84,4.893203883,59,3.436893204,24,1.398058252,5,0.2912621359,1,0.05825242718,0,0,0,0,52,3.029126214
28,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,26,22,15,1409,15.7,1,0.06387508872,1,0.06387508872,2,0.1277501774,0.9,0.05748757984,0.2,0.01277501774,0.9,0.05748757984,1,0.06387508872,17,1.085876508,13,0.8303761533,11,6,0,9,0.5748757984,11,0.7026259759,28,1.788502484,80,5.110007097,0,0,37,2.363378282,42,2.682753726,5,0.3193754436,1,0.06387508872,91.1,5.819020582,15,0.9581263307,1,0.06387508872,0.2,0.01277501774,1,0.06387508872,,0,,0,,0,,0,,0,,0,,0,1330,84.95386799,777,49.63094393,1,0.06387508872,4,0.2555003549,0,0,4,0.2555003549,0,0,0,0,0,0,41,2.618878637
29,Martin Adeline,FRA,MF,Reims,Ligue 1,20,1,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.461538462,1,3.461538462,0,1,0,0,0,0,0,1,3.461538462,2,6.923076923,0,0,1,3.461538462,0,0,1,3.461538462,0,0,80,276.9230769,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,14,48.46153846,6,20.76923077,1,3.461538462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22,25,17,1433,15.9,7,0.4396371249,6,0.3768318214,13,0.8164689463,5.5,0.3454291696,6,0.3768318214,5.5,0.3454291696,7,0.4396371249,20,1.256106071,14,0.8792742498,6,6,8,14,0.8792742498,7,0.4396371249,27,1.695743196,5,0.3140265178,0,0,41,2.575017446,28,1.7585485,68,4.270760642,28,1.7585485,74.3,4.666434054,57,3.579902303,6,0.3768318214,4.1,0.2575017446,19,1.193300768,,0,,0,,0,,0,,0,,0,,0,636,39.94417306,417,26.18981158,153,9.609211445,43,2.700628053,31,1.94696441,4,0.2512212142,0,0,0,0,0,0,48,3.014654571
31,Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22,29,12,1097,12.2,2,0.1640838651,2,0.1640838651,4,0.3281677302,2.5,0.2051048314,2.5,0.2051048314,2.5,0.2051048314,2,0.1640838651,23,1.886964448,14,1.148587056,10,8,5,12,0.9845031905,8,0.6563354603,31,2.543299909,6,0.4922515953,2,0.1640838651,41,3.363719234,18,1.476754786,50,4.102096627,16,1.312670921,75.9,6.22698268,47,3.85597083,2,0.1640838651,2.8,0.2297174111,17,1.394712853,,0,,0,,0,,0,,0,,0,,0,548,44.95897903,366,30.02734731,136,11.15770283,39,3.199635369,12,0.9845031905,0,0,0,0,0,0,0,0,47,3.85597083
32,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24,20,6,766,8.5,2,0.2349869452,0,0,2,0.2349869452,2.7,0.317232376,0.7,0.08224543081,2.7,0.317232376,2,0.2349869452,15,1.762402089,9,1.057441253,4,2,9,11,1.292428198,0,0,15,1.762402089,4,0.4699738903,0,0,26,3.054830287,24,2.819843342,37,4.347258486,11,1.292428198,74.2,8.718015666,29,3.407310705,0,0,1.9,0.2232375979,15,1.762402089,,0,,0,,0,,0,,0,,0,,0,468,54.98694517,248,29.1383812,100,11.74934726,20,2.349869452,6,0.7049608355,3,0.3524804178,0,0,2,0.2349869452,0,0,30,3.524804178
33,Yacine Adli,FRA,MF,Fiorentina,Serie A,24,25,14,1219,13.5,4,0.2953240361,6,0.4429860541,10,0.7383100902,1,0.07383100902,2.4,0.1771944217,1,0.07383100902,4,0.2953240361,32,2.362592289,19,1.402789171,11,16,5,13,0.9598031173,6,0.4429860541,38,2.805578343,19,1.402789171,0,0,51,3.76538146,103,7.604593929,24,1.771944217,23,1.698113208,80.7,5.958162428,50,3.691550451,6,0.4429860541,2.2,0.1624282199,16,1.181296144,,0,,0,,0,,0,,0,,0,,0,1021,75.38146021,618,45.62756358,30,2.214930271,19,1.402789171,8,0.5906480722,3,0.2214930271,1,0.07383100902,0,0,0,0,77,5.684987695
34,Adrián,ESP,GK,Betis,La Liga,37,19,19,1710,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.7368421053,3,0.1578947368,-3,-0.1578947368,0,0,0,0,0,0,76.6,4.031578947,0,0,0,0,0,0,0,0,27,1.421052632,49,2.578947368,65.8,3.463157895,3,0.1578947368,15.8,0.8315789474,1,0.05263157895,0,0,658,34.63157895,390,20.52631579,0,0,1,0.05263157895,0,0,3,0.1578947368,0,0,0,0,0,0,20,1.052631579
35,Adryelson,BRA,DF,Lyon,Ligue 1,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,1,90,1,90,0,0,1,90,1,90,0,0,0,0,33.3,2997,0,0,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,5,450,1,90,0,0,0,0,0,0,1,90,0,0,0,0,0,0,0,0
36,Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,18,6,0,42,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4.285714286,2,4.285714286,0,1,1,0,0,0,0,2,4.285714286,0,0,0,0,2,4.285714286,1,2.142857143,0,0,0,0,75,160.7142857,2,4.285714286,0,0,0,0,1,2.142857143,,0,,0,,0,,0,,0,,0,,0,24,51.42857143,14,30,3,6.428571429,1,2.142857143,1,2.142857143,0,0,0,0,0,0,0,0,3,6.428571429
37,Michel Aebischer,SUI,MF,Bologna,Serie A,27,14,9,724,8,0,0,0,0,0,0,0.4,0.04972375691,0.4,0.04972375691,0.4,0.04972375691,0,0,18,2.237569061,13,1.616022099,8,7,3,4,0.4972375691,7,0.8701657459,25,3.107734807,6,0.7458563536,0,0,29,3.604972376,33,4.102209945,8,0.9944751381,8,0.9944751381,87.4,10.86464088,18,2.237569061,0,0,0.6,0.07458563536,5,0.6215469613,,0,,0,,0,,0,,0,,0,,0,485,60.29005525,291,36.17403315,17,2.113259669,5,0.6215469613,7,0.8701657459,2,0.2486187845,0,0,0,0,0,0,35,4.350828729
38,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26,32,17,1639,18.2,3,0.1647345943,1,0.05491153142,4,0.2196461257,3.1,0.1702257474,3.8,0.2086638194,3.1,0.1702257474,3,0.1647345943,17,0.9334960342,8,0.4392922514,4,8,5,17,0.9334960342,8,0.4392922514,25,1.372788286,20,1.098230628,0,0,42,2.30628432,32,1.757169005,53,2.910311165,21,1.15314216,69.4,3.810860281,52,2.855399634,1,0.05491153142,3.6,0.1976815131,14,0.7687614399,,0,,0,,0,,0,,0,,0,,0,741,40.68944478,495,27.18120805,108,5.930445394,63,3.45942648,45,2.471018914,3,0.1647345943,0,0,1,0.05491153142,0,0,72,3.953630262
39,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27,16,16,1410,15.7,1,0.06382978723,0,0,1,0.06382978723,0.8,0.05106382979,0.2,0.01276595745,0.8,0.05106382979,1,0.06382978723,30,1.914893617,19,1.212765957,21,9,0,19,1.212765957,12,0.7659574468,42,2.680851064,90,5.744680851,0,0,61,3.893617021,31,1.978723404,6,0.3829787234,4,0.2553191489,85.4,5.45106383,17,1.085106383,0,0,0.3,0.01914893617,1,0.06382978723,,0,,0,,0,,0,,0,,0,,0,1172,74.80851064,758,48.38297872,2,0.1276595745,6,0.3829787234,4,0.2553191489,3,0.1914893617,0,0,0,0,0,0,83,5.29787234
40,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27,14,14,1260,14,0,0,0,0,0,0,0.5,0.03571428571,0.3,0.02142857143,0.5,0.03571428571,0,0,25,1.785714286,17,1.214285714,19,3,3,22,1.571428571,19,1.357142857,44,3.142857143,64,4.571428571,1,0.07142857143,65,4.642857143,77,5.5,10,0.7142857143,8,0.5714285714,87.9,6.278571429,21,1.5,0,0,0.3,0.02142857143,4,0.2857142857,,0,,0,,0,,0,,0,,0,,0,1080,77.14285714,621,44.35714286,0,0,9,0.6428571429,6,0.4285714286,3,0.2142857143,0,0,0,0,0,0,85,6.071428571
41,Asher Agbinone,ENG,MF,Crystal Palace,Premier League,18,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,30,1,15,0,2,0,0,0,0,0,2,30,0,0,0,0,2,30,0,0,2,30,1,15,66.7,1000.5,1,15,0,0,0,0,0,0,,0,,0,,0,,0,,0,,0,,0,8,120,5,75,1,15,0,0,1,15,0,0,0,0,0,0,0,0,0,0
42,Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18,8,1,300,3.3,1,0.3,0,0,1,0.3,0.7,0.21,0.2,0.06,0.7,0.21,1,0.3,7,2.1,6,1.8,6,0,1,2,0.6,1,0.3,8,2.4,0,0,1,0.3,9,2.7,6,1.8,13,3.9,3,0.9,72.5,21.75,8,2.4,0,0,0.4,0.12,4,1.2,,0,,0,,0,,0,,0,,0,,0,131,39.3,84,25.2,36,10.8,11,3.3,6,1.8,1,0.3,0,0,0,0,0,0,9,2.7
43,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,14,14,1206,13.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.2985074627,0,0,0,0,0,0,0,0,0,0,68.4,5.104477612,3,0.223880597,0,0,0,0,0,0,9,0.671641791,24,1.791044776,76.5,5.708955224,5,0.3731343284,35.7,2.664179104,1,0.07462686567,1,0.07462686567,437,32.6119403,237,17.68656716,0,0,1,0.07462686567,0,0,1,0.07462686567,1,0.07462686567,0,0,2,0.1492537313,21,1.567164179
44,Lucien Agoume,FRA,MF,Sevilla,La Liga,22,35,24,2114,23.5,1,0.04257332072,3,0.1277199622,4,0.1702932829,0.9,0.03831598865,2.5,0.1064333018,0.9,0.03831598865,1,0.04257332072,70,2.98013245,32,1.362346263,23,37,10,30,1.277199622,41,1.745506149,111,4.7256386,42,1.78807947,0,0,141,6.002838221,135,5.747398297,29,1.234626301,27,1.149479659,81.5,3.469725639,60,2.554399243,3,0.1277199622,1.6,0.06811731315,19,0.8088930937,,0,,0,,0,,0,,0,,0,,0,1481,63.05108798,689,29.33301798,23,0.9791863765,26,1.106906339,13,0.5534531693,5,0.2128666036,1,0.04257332072,0,0,1,0.04257332072,136,5.789971618
